id,How confident are you that you understand what protections a TEE offers? (initial),ResponseId,How confident are you that you understand the scenario? (medical),What is the goal of the medical study? (attempt 1),What is the goal of the medical study? (attempt 2),Q296_Page Submit,How likely would you be willing to participate in the medical study?,How likely would you be willing to participate in the medical study? (free-response),"How safe do you think data would be when it is protected by a TEE? (medical, initial)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (medical, use of a TEE)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (medical, hospital collection)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (medical, people on team)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (medical, data collected)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (medical, purpose of collection)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (medical, other)","What questions do you still have about TEEs, if any? (medical)","TEE concept (medical, 1)","TEE concept (medical, 2)","TEE concept (medical, 3)","TEE concept (medical, 4)","TEE concept (medical, 5)","TEE concept (medical, 6)","TEE concept (medical, 7)","TEE concept (medical, 8)","TEE concept (medical, 9)","TEE concept (medical, 10)","TEE concept (medical, 11)","TEE concept (medical, 12)",How confident are you about your answers to the questions on this page? (medical),"How confident are you that you understand what protections a TEE offers? (medical, post-concepts)","How safe do you think data would be when it is protected by a TEE? (medical, post-TEE concepts)",How confident are you that you understand the scenario? (IoT),What kind of device are you shopping for? (attempt 1),What kind of device are you shopping for? (attempt 2),How likely would you be to purchase the voice assistant/light bulb?,How likely would you be to purchase the voice assistant/light bulb? (free-response),"How safe do you think data would be when it is protected by a TEE? (IoT, initial)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (IoT, use of a TEE)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (IoT, company collection)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (IoT, people on team)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (IoT, data collected)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (IoT, purpose of collection)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (IoT, other)","What questions do you still have about TEEs, if any? (IoT)","TEE concept (IoT, 1)","TEE concept (IoT, 2)","TEE concept (IoT, 3)","TEE concept (IoT, 4)","TEE concept (IoT, 5)","TEE concept (IoT, 6)","TEE concept (IoT, 7)","TEE concept (IoT, 8)","TEE concept (IoT, 9)","TEE concept (IoT, 10)","TEE concept (IoT, 11)","TEE concept (IoT, 12)",How confident are you about your answers to the questions on this page? (IoT),"How confident are you that you understand what protections a TEE offers? (IoT, post-concepts)","How safe do you think data would be when it is protected by a TEE? (IoT, post-TEE concepts)","Before this survey, were you familiar with the concept of TEEs?","Before this survey, were you familiar with the concept of TEEs? (free resposne)",Are you employed in a computing field?,Are you employed in a computing field? (free response),Do you have formal education in a computing field?,Do you have formal education in a computing field? (free response),Do you have prior experience with medical research?,Do you have prior experience with medical research? (free response),Do you work in a medical field?,Do you work in a medical field? (free response),Do you own any smart devices?,Do you own any smart devices? (free response),Do you have experience with home automation?,Do you have experience with home automation? (free response),Age,Gender,Gender (free response),Race,Race (free response),Education,Feedback,SCENARIO_Med,SCENARIO_IoT,Med_First,EXPLN,FAQ,faq1_count,faq2_count,faq3_count,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12
164,Completely confident,R_7HMiCax7k2p957H,Completely confident,Develop an AI tool for diagnosing patients,,195.348,Definitely would,,Completely safe,Definitely safe,Definitely safe,Definitely safe,Definitely safe,Definitely safe,"I feel really safe about it because I personally feel like, what would anyone really have to gain by stealing my medical information? It definitely feels secure enough being stored this way.","I don't have any questions about them, I think I have learned enough to know what they are and how they operate. ",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Completely confident ,Completely confident ,Completely safe,Completely confident,Smart voice assistant,,Definitely would,,Mostly safe,Definitely safe,Somewhat safe,Somewhat safe,Definitely safe,Definitely safe,"What made me feel the most uneasy was the sentence, ""Researchers are also working on new ways to ensure that software running in a TEE works as expected."" It made me question if this process is really as secure as it seems, I understand it could be a precautionary measure but the fact that it is still ""being researched"" makes me feel nervous about it. The most assuring aspect is that this technology already exists in modern Android phones. ","I don't have any more questions, I feel that I understand it and it was explained thoroughly enough.",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,Completely confident ,Completely confident ,Mostly safe,No,,"No, but I have been in the past",,No,,No,,No,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,25-34 years old,Female,,"White or Caucasian,American Indian/Native American or Alaska Native",,"Some college, but no degree",,Medical-Complex,IoT-Complex,0,Unsubstantial,Show,0,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1
165,Somewhat confident,R_7xUHIFKjHyVt9UB,Somewhat confident,Determine where to build a new hospital,,115.964,Maybe would,,Somewhat safe,Neither safe nor unsafe,Somewhat safe,Neither safe nor unsafe,Neither safe nor unsafe,Somewhat safe,The data being collected is person but not prone to identity theft too much. So somewhat safe.,Can the TEE be hacked in this situation?,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Somewhat confident,Not at all confident,Somewhat safe,Somewhat confident,Smart voice assistant,,Would not ,,Somewhat safe,Somewhat unsafe,Somewhat unsafe,Somewhat unsafe,Somewhat unsafe,Somewhat unsafe,Knowing address brower history etc. sounds usafe.,Some of the explanations seemed too complicated to me.,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Somewhat confident,Not at all confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, but I don’t use the smart features",,"No, I don’t own smart devices",,45-54 years old,Female,,"White or Caucasian,Asian",,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Still don't quite get what TEE is but it was an interesting survey.,Medical-Simple,IoT-Complex,0,None,Show,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0
166,Somewhat confident,R_7oQKo4NloZH1g2Z,Somewhat confident,Develop an AI tool for diagnosing patients,,,Would not ,,Somewhat safe,Somewhat unsafe,Somewhat unsafe,Somewhat unsafe,Somewhat unsafe,Neither safe nor unsafe,"I can imagine many points of failure, where data might be exposed",No more questions ,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart voice assistant,,Would not ,,Somewhat safe,Somewhat unsafe,Somewhat unsafe,Neither safe nor unsafe,Somewhat unsafe,Somewhat unsafe,"Seems like software is getting more, not less, glitchy, so why should the TEE be any different ","It's be interesting to know what tests, hacking, etc TEE has been exposed to",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,No,,Yes,,No,,"Yes, as a participant",,No,,No,,"No, I don’t own smart devices",,55-64 years old,Female,,White or Caucasian,,"Some college, but no degree",Seems like valid questions you're bringing up. Thank you and best of luck ,Medical-Complex,IoT-Complex,0,Hardware,Hide,2,2,2,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0
167,Somewhat confident,R_2bLvPrv3tvNIjDP,Completely confident,Develop an AI tool for diagnosing patients,,,Would not ,,Mostly safe,Somewhat safe,Somewhat unsafe,Somewhat unsafe,Definitely unsafe,Neither safe nor unsafe,Use of my data to train an AI tool and the potential for the data to be used in the future when it contains sensitive information makes me feel like it would be unsafe.,"How is it ensured that only approved people can access the sensitive data protected by the TEE? Like if it’s password-protected, someone’s password could be stolen and used by an unapproved person.",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,Completely confident,Smart light bulb,,Would not ,,Mostly safe,Somewhat safe,Somewhat unsafe,Neither safe nor unsafe,Somewhat unsafe,Somewhat unsafe,"The company’s prerogative is to sell me stuff, so I don’t really trust them and it makes me feel like my data would be less safe in their hands.","Again, what happens if someone’s password gets stolen? Or if they choose to show some unapproved person my data while they’re logged in?",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,No,,No,,No,,"No, I don’t own smart devices",,18-24 years old,Female,,White or Caucasian,,Bachelor’s degree,,Medical-Complex,IoT-Simple,1,Unsubstantial,Hide,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
168,Not at all confident,R_5Ut7QZClm0ecbsd,Not at all confident,Develop an AI tool for diagnosing patients,,,Definitely would,,Somewhat safe,Neither safe nor unsafe,Somewhat safe,Definitely safe,Somewhat safe,Definitely safe,,,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart light bulb,,Would not ,,Somewhat safe,Neither safe nor unsafe,Somewhat unsafe,Somewhat safe,Somewhat safe,Somewhat safe,Sounds like too much worry about data breaching for a lightbulb,I don’t really understand but am not highly technologically inclined either. ,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Somewhat confident,Not at all confident,Somewhat safe,No,,No,,No,,"Yes, as a participant",,No,,"Yes, but I don’t use the smart features",,"Yes, I currently use home automation",,25-34 years old,Female,,"White or Caucasian,Asian",,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,Medical-Complex,IoT-Simple,0,Unsubstantial,None,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
169,Somewhat confident,R_2jNuYyVQuF9wUz6,Completely confident,Develop an AI tool for diagnosing patients,,65.964,Definitely would,,Mostly safe,Definitely safe,Definitely safe,Definitely safe,Definitely safe,Definitely safe,none,none,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Completely confident ,Completely confident ,Mostly safe,Somewhat confident,Smart light bulb,,Maybe would,,Completely safe,Definitely safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,"I would trust this exact scenario, but fine print in an actual product may have other uses for data.",,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Completely confident ,Completely confident ,Mostly safe,No,,Yes,,Yes,,"Yes, as a participant",,No,,"Yes, and I use the smart features",,"Yes, I have used home automation, but not currently",,25-34 years old,Male,,White or Caucasian,,Bachelor’s degree,,Medical-Complex,IoT-Simple,0,Trust,Show,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0
170,Somewhat confident,R_5effRSqsZHazjha,Somewhat confident,Develop an AI tool for diagnosing patients,,,Maybe would,,Mostly safe,Neither safe nor unsafe,Somewhat unsafe,Somewhat safe,Somewhat unsafe,Somewhat safe,"I know hospitals and government funded sectors may be prone to attacks more than private sectors, so knowing that a TEE is in place makes me feel more secure.",,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart voice assistant,,Would not ,,Somewhat safe,Somewhat safe,Definitely unsafe,Somewhat unsafe,Definitely unsafe,Somewhat unsafe,"The specific types of data collected by the AI seems unsafe to me. Furthermore, there is a group of people that will have access to that data and that is unsafe to me. ",Where is the data on TEE stored? Is it on some type of cloud?,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,"Yes, as a participant",,Yes,Dental Student,"Yes, but I don’t use the smart features",,"No, I don’t own smart devices",,25-34 years old,Male,,Asian,,Bachelor’s degree,,Medical-Complex,IoT-Complex,0,Trust,None,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1
171,Not at all confident,R_7gp8sqGu1ZQgQ1I,Somewhat confident,Determine where to build a new hospital,,,Maybe would,,Mostly safe,Definitely safe,Somewhat safe,Somewhat safe,Somewhat unsafe,Definitely safe,No,No,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Completely confident ,Completely confident ,Mostly safe,Somewhat confident,Smart voice assistant,,Maybe would,,Mostly safe,Definitely safe,Neither safe nor unsafe,Definitely safe,Somewhat safe,Somewhat safe,No,Information on TEEs was understandable and thorough,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Completely confident ,Completely confident ,Mostly safe,No,,Yes,,Yes,,No,,No,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,25-34 years old,Male,,White or Caucasian,,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",I do not,Medical-Simple,IoT-Complex,0,None,Hide,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
172,Completely confident,R_3Yvp3ME7UrKiPGp,Completely confident,Develop an AI tool for diagnosing patients,,,Definitely would,,Completely safe,Definitely safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,Safe,None,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Completely confident ,Completely confident ,Completely safe,Completely confident,Smart light bulb,,Definitely would,,Completely safe,Definitely safe,Somewhat safe,Somewhat safe,Definitely safe,Somewhat safe,Makes me feel that my data would be safe.,None,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Completely confident ,Completely confident ,Completely safe,Yes,,No,,No,,No,,No,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,25-34 years old,Male,,White or Caucasian,,"Some college, but no degree",No,Medical-Complex,IoT-Simple,0,Hardware,Hide,3,1,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0
173,Somewhat confident,R_72LathmkQzTQowQ,Somewhat confident,Determine where to build a new hospital,,65.301,Maybe would,,Mostly safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,Neither safe nor unsafe,No,None at the moment ,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Somewhat confident,Mostly safe,Somewhat confident,Smart voice assistant,,Maybe would,,Mostly safe,Somewhat safe,Somewhat unsafe,Somewhat safe,Somewhat unsafe,Somewhat unsafe,No, None at the moment ,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Somewhat confident,Somewhat confident,Mostly safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,45-54 years old,Male,,White or Caucasian,,Bachelor’s degree,None,Medical-Simple,IoT-Complex,0,Unsubstantial,Show,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1
174,Somewhat confident,R_2eze3IiXRvphH3Q,Somewhat confident,Determine where to build a new hospital,,,Maybe would,,Mostly safe,Somewhat safe,Somewhat safe,Neither safe nor unsafe,Somewhat safe,Somewhat safe,I can't think of anything. ,None.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Completely confident ,Mostly safe,Somewhat confident,Smart light bulb,,Maybe would,,Mostly safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,"Nothing, really. ",none,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Somewhat confident,Mostly safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,45-54 years old,Female,,White or Caucasian,,"Some college, but no degree",,Medical-Simple,IoT-Simple,1,Trust,Hide,4,4,4,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
175,Completely confident,R_2JMelzQ2zvpefCh,Completely confident,Determine where to build a new hospital,,,Definitely would,,Mostly safe,Definitely safe,Somewhat safe,Somewhat safe,Somewhat safe,Definitely safe,Unsafe - That there are people who have access to your information still. People CAN be corrupted.,None. I think the TEE itself is definitely safe. I just don’t think that 100% of people can be counted on as being safe & incorruptible.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Completely confident ,Mostly safe,Completely confident,Smart voice assistant,,Definitely would,,Mostly safe,Definitely safe,Somewhat safe,Somewhat safe,Definitely safe,Definitely safe,Unsafe - that people would still have access to my information. People can be corrupted sometimes.,None,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Completely confident ,Mostly safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,35-44 years old,Female,,White or Caucasian,,Bachelor’s degree,,Medical-Simple,IoT-Complex,0,None,None,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
176,Somewhat confident,R_50V94cgjaswnZLW,Completely confident,Develop an AI tool for diagnosing patients,,,Maybe would,,Mostly safe,Somewhat safe,Neither safe nor unsafe,Somewhat unsafe,Neither safe nor unsafe,Neither safe nor unsafe,My main concern is how well trained on security measures are the people accessing the TEE. ,"who would be in control of updates to the TEE, the hospital's IT group, the company that owns the TEE?",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Completely confident ,Completely confident ,Mostly safe,Completely confident,Smart light bulb,,Would not ,,Somewhat safe,Neither safe nor unsafe,Somewhat unsafe,Neither safe nor unsafe,Somewhat unsafe,Neither safe nor unsafe,the recent smart lightbulbs or smart anything are known to have insecure or not secure applications. the smart appliances usually have access through your router which could open your home network to malicious hacks.,no question,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Somewhat confident,Completely confident ,Somewhat safe,No,,Yes,,Yes,,No,,"No, but I have been in the past",,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,65+ years old,Female,,White or Caucasian,,Bachelor’s degree,no comment,Medical-Complex,IoT-Simple,1,Unsubstantial,None,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0
177,Completely confident,R_7TyB9aT59jmSSHL,Completely confident,Develop an AI tool for diagnosing patients,,,Maybe would,,Completely safe,Definitely safe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,I feel safe knowing only the researchers will be able to access it due to the protections offered by the TEE. Other programs impacted by malware or something will not have access.,None ,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Somewhat confident,Somewhat confident,Completely safe,Completely confident,Smart voice assistant,,Would not ,,Somewhat safe,Definitely safe,Somewhat unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Definitely unsafe,I don’t trust a company versus a medical facility. Companies are more likely to misuse data or sell it not caring regardless of what they say they will do.,None.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,No,,No,,No,,"No, I don’t own smart devices",,35-44 years old,Male,,White or Caucasian,,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,Medical-Complex,IoT-Complex,1,Unsubstantial,None,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
178,Completely confident,R_7Bo0tufa8dXBCvc,Completely confident,Determine where to build a new hospital,,193.597,Definitely would,,Completely safe,Definitely safe,Definitely safe,Definitely safe,Definitely safe,Definitely safe,Hospitals are experienced and well equipped to keep medical records and personal information private.,No questions ,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Completely confident ,Completely safe,Completely confident,Smart voice assistant,,Definitely would,,Completely safe,Definitely safe,Definitely safe,Definitely safe,Definitely safe,Definitely safe,No,No,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Completely confident ,Completely safe,Yes,,No,,No,,No,,No,,No,,"Yes, I have used home automation, but not currently",,25-34 years old,Female,,White or Caucasian,,Associates or technical degree,No,Medical-Simple,IoT-Complex,1,Trust,Show,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
179,Not at all confident,R_28Ye3DwBmbF5lU1,Completely confident,Determine where to build a new hospital,,,Maybe would,,Mostly safe,Definitely safe,Somewhat safe,Neither safe nor unsafe,Somewhat safe,Somewhat safe,People are still involved so it’s not completely safe.,N/a,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Completely confident ,Somewhat confident,Mostly safe,Somewhat confident,Smart light bulb,,Definitely would,,Mostly safe,Somewhat safe,Somewhat safe,Neither safe nor unsafe,Definitely safe,Somewhat safe,Data breaches happen all the time. But the info being collected seems pretty innocuous.,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Completely confident ,Completely confident ,Mostly safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,35-44 years old,Male,,White or Caucasian,,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,Medical-Simple,IoT-Simple,0,None,Hide,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
180,Somewhat confident,R_5ri7xezJe2Wfhjm,Somewhat confident,Determine where to build a new hospital,,81.713,Maybe would,,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,"I feel like this is for a good purpose, but could potentially be misused.",,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart light bulb,,Would not ,,Somewhat safe,Neither safe nor unsafe,Definitely unsafe,Somewhat unsafe,Definitely unsafe,Somewhat unsafe,I just don't like the thought of someone having my private information for something such as a smart light bulb.,"While I appreciate they have been carefully designed to keep information safe and confidential, I still have many reservations.",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,"Yes, as a participant",,"No, but I have been in the past",,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,35-44 years old,Female,,White or Caucasian,,Associates or technical degree,,Medical-Simple,IoT-Simple,0,Trust,Show,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0
181,Somewhat confident,R_2zZr2p8vfPXJtAl,Somewhat confident,Develop an AI tool for diagnosing patients,,62.23,Definitely would,,Mostly safe,Somewhat safe,Definitely safe,Definitely safe,Definitely safe,Somewhat safe,No,None,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Somewhat confident,Somewhat confident,Mostly safe,Somewhat confident,Smart voice assistant,,Definitely would,,Mostly safe,Definitely safe,Somewhat safe,Somewhat safe,Definitely safe,Definitely safe,No,"I just feel like nothing is completely fool proof. Since technologies are still made by a human, they are still may be a select type of human that would be able to access the data illegally",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,Somewhat confident,Somewhat confident,Mostly safe,No,,No,,No,,"Yes, as a researcher",,"No, but I have been in the past",,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,45-54 years old,Female,,White or Caucasian,,"Some college, but no degree",No,Medical-Complex,IoT-Complex,1,Trust,Show,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1
182,Not at all confident,R_22R3qM2OAZ5ZWab,Not at all confident,Determine where to build a new hospital,,63.838,Maybe would,,Somewhat safe,Somewhat safe,Somewhat unsafe,Neither safe nor unsafe,Somewhat safe,Somewhat safe,"The data being collected seems low risk, meaning I’m assuming it’s things like where I live and how far I travel to get to the hospital. If leaked, I don’t think it would do me much harm. ","Same comments as before. Too much jargon to explain TEEs. Perhaps use an analogy to help people understand? For example describe a CPU as a building and explain the TEE as a floor that is physically inaccessible except for certain criteria, etc",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart voice assistant,,Maybe would,,Mostly safe,Somewhat safe,Somewhat unsafe,Somewhat unsafe,Neither safe nor unsafe,Somewhat safe,I feel that the people with access to the data at the company are the weak link and the most likely source of a breach. ,"I feel there is still a lot of technical jargon, such as “ARM TrustZone” that don’t mean anything to me. I’d love to see the description simplified further and with better examples of how a TEE functions and what assurances I have that it’s actually a Secure Enclave. ",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Not at all confident,Somewhat safe,Yes,I’ve heard them described by Apple as Secure Enclaves when they first introduced TouchID and FaceID,Yes,,No,,No,,No,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,45-54 years old,Male,,Asian,,Bachelor’s degree,,Medical-Simple,IoT-Complex,0,None,Show,3,3,3,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
